,name,album,artist,length,acousticness,danceability,energy,loudness,tempo,valence,playlist
158,Before the Next Teardrop Falls,The Freddy Fender Collection,Freddy Fender,158306,0.748,0.799,0.345,-11.52,90.417,0.776,1970s
159,Blanket On The Ground,Country Greats,Billie Jo Spears,215360,0.394,0.465,0.519,-11.819,86.6,0.881,1970s
160,She's Actin' Single (I'm Drinkin' Doubles),RCA Country Legends,Gary Stewart,171093,0.567,0.708,0.482,-10.366,109.41,0.699,1970s
161,Her Name Is...,Anniversary (Ten Years Of Hits),George Jones,138800,0.307,0.565,0.336,-16.387,82.294,0.796,1970s
162,Ridin' My Thumb To Mexico,The Best Of Johnny Rodriguez 20th Century Masters The Millennium Collection,Johnny Rodriguez,126200,0.972,0.628,0.321,-9.718,90.259,0.666,1970s
163,This Time,The Essential Waylon Jennings,Waylon Jennings,144733,0.0884,0.448,0.597,-12.201,98.494,0.514,1970s
164,The Door Is Always Open,Anthology,Dave and Sugar,163800,0.499,0.455,0.479,-10.417,188.482,0.826,1970s
165,Shadows In The Moonlight,The Ultimate Collection (Deluxe Edition),Anne Murray,209733,0.00351,0.63,0.689,-5.927,104.683,0.422,1970s
166,Linda On My Mind - Single Version,Conway Twitty's Greatest Hits Volume II,Conway Twitty,162693,0.314,0.383,0.292,-15.23,104.789,0.593,1970s
167,Sleeping Single In A Double Bed - Single Version,Ultimate Collection: Barbara Mandrell,Barbara Mandrell,138853,0.454,0.715,0.687,-9.408,139.375,0.974,1970s
168,Amos Moses,The Essential Jerry Reed,Jerry Reed,139760,0.526,0.75,0.711,-10.633,105.636,0.961,1970s
169,Lonely Women Make Good Lovers,Greatest Hits,Bob Luman,193960,0.712,0.652,0.484,-10.389,121.604,0.636,1970s
170,The Wurlitzer Prize (I Don't Want to Get Over You),The Essential Waylon Jennings,Waylon Jennings,128253,0.861,0.597,0.346,-12.679,118.704,0.499,1970s
171,Pass Me By,20 Greatest Hits,Johnny Rodriguez,157746,0.678,0.661,0.4,-6.499,101.025,0.397,1970s
172,Here You Come Again,The Essential Dolly Parton,Dolly Parton,174466,0.568,0.537,0.573,-9.106,105.795,0.615,1970s
173,Bloody Mary Morning,Phases And Stages,Willie Nelson,168933,0.586,0.601,0.766,-13.262,130.14,0.856,1970s
174,"My Woman, My Woman, My Wife",Marty Robbins - 16 Biggest Hits,Marty Robbins,211106,0.927,0.429,0.317,-11.322,102.109,0.302,1970s
175,Don't Take It Away - Single Version,Gold,Conway Twitty,221400,0.517,0.721,0.302,-16.424,88.461,0.433,1970s
176,The Power of Positive Drinkin',The Essential Mickey Gilley,Mickey Gilley,145253,0.629,0.535,0.912,-8.18,181.036,0.906,1970s
177,Till the End,Till The End,Vern Gosdin,166000,0.411,0.547,0.265,-16.803,93.106,0.385,1970s
178,It's Not Love (But It's Not Bad),The Very Best Of Merle Haggard,Merle Haggard,201386,0.189,0.659,0.281,-13.564,108.287,0.518,1970s
179,Blue Skies,Stardust,Willie Nelson,213440,0.207,0.381,0.335,-12.797,83.792,0.259,1970s
180,(If Loving You Is Wrong) I Don't Want To Be Right,Ultimate Collection: Barbara Mandrell,Barbara Mandrell,185013,0.0341,0.621,0.536,-10.935,74.256,0.72,1970s
181,Paper Roses,20th Century Masters: The Millennium Collection: Best of Donny & Marie Osmond,Donny Osmond,158973,0.272,0.359,0.504,-10.555,114.172,0.73,1970s
182,Goin' Steady,Golden Hits,Faron Young,125266,0.47,0.492,0.428,-13.132,165.776,0.871,1970s
183,Delta Dawn,Delta Dawn,Tanya Tucker,178400,0.668,0.549,0.424,-12.892,76.783,0.509,1970s
184,Man in Black,Man In Black,Johnny Cash,172986,0.589,0.676,0.58,-14.217,95.358,0.89,1970s
185,Love Is Like a Butterfly,The Essential Dolly Parton,Dolly Parton,140173,0.721,0.686,0.187,-12.062,89.616,0.772,1970s
186,Mother Country Music,Till The End,Vern Gosdin,173853,0.189,0.562,0.448,-13.113,132.622,0.603,1970s
187,I Can Help,The Best Of Billy Swan,Billy Swan,238333,0.511,0.471,0.675,-9.07,125.313,0.53,1970s
188,Dueling Banjos,Dueling Banjos From The Original Sound Track Of Deliverance And Additional Music,Eric Weissberg,194879,0.409,0.417,0.484,-8.781,149.79,0.501,1970s
189,Barstool Mountain,The Very Best Of...Volume 1,Moe Bandy,169000,0.23,0.73,0.225,-15.429,123.61,0.596,1970s
190,Out Of My Head And Back In My Bed,The Definitive Collection,Loretta Lynn,160920,0.284,0.625,0.69,-10.424,132.446,0.915,1970s
191,You and Me,The Essential Tammy Wynette,Tammy Wynette,200426,0.584,0.458,0.234,-14.843,77.317,0.197,1970s
192,"Midnight, Me And The Blues",All His Great Hits,Mel Tillis,170200,0.843,0.647,0.282,-15.042,132.169,0.753,1970s
193,What Goes On When The Sun Goes Down,The Essential Ronnie Milsap,Ronnie Milsap,172800,0.661,0.693,0.484,-10.004,132.879,0.902,1970s
194,I Can't Believe She Gives It All To Me - Single Version,Gold,Conway Twitty,143373,0.56,0.471,0.195,-16.353,91.817,0.47,1970s
195,'Til I Get It Right,The Essential Tammy Wynette,Tammy Wynette,157933,0.843,0.528,0.146,-13.271,133.894,0.336,1970s
196,Mountain Music,Ultimate Alabama 20 # 1 Hits,Alabama,218613,0.119,0.467,0.526,-9.982,109.555,0.753,1980s
197,"Forever and Ever, Amen",Top 10,Randy Travis,212586,0.303,0.701,0.68,-8.492,90.607,0.704,1980s
