,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,playlist,genre
7,I Love,20th Century Masters: The Millennium Collection: Best Of Tom T. Hall,Tom T. Hall,2000-01-01,125666,0,0.883,0.544,0.312,0.236,0.134,-12.146,0.0266,91.974,0.505,E,4,1970s,country
8,"Luckenbach, Texas (Back to the Basics of Love)",Ultimate Waylon Jennings,Waylon Jennings,2004-03-23,200493,57,0.704,0.684,0.45,0.00191,0.243,-10.422,0.0332,102.902,0.639,G,4,1970s,country
9,Rose Colored Glasses,Rose Colored Glasses,John Conlee,1988-01-01,200493,57,0.382,0.396,0.379,0.0,0.105,-14.236,0.043,114.447,0.368,G#/Ab,3,1970s,country
10,You Never Even Called Me By My Name,David Allan Coe - 16 Biggest Hits,David Allan Coe,1975,314226,56,0.153,0.604,0.459,0.0,0.275,-13.19,0.0321,105.908,0.505,C,4,1970s,country
11,Lucille - 2006 Digital Remaster,Number Ones,Kenny Rogers,2006-01-01,219360,0,0.412,0.65,0.286,0.0,0.133,-15.878,0.0345,142.236,0.418,F,3,1970s,country
12,Rhinestone Cowboy,Greatest Hits,Glen Campbell,2009-01-01,209306,44,0.118,0.601,0.711,0.00163,0.43,-3.998,0.0255,115.168,0.719,C,4,1970s,country
13,Pure Love - Remastered,Ultimate Ronnie Milsap,Ronnie Milsap,2004-03-01,140960,0,0.31,0.521,0.718,0.0,0.0648,-9.102,0.0324,151.216,0.849,D,4,1970s,country
14,One Piece at a Time,One Piece At A Time,Johnny Cash,1976-05-01,241813,59,0.685,0.721,0.539,0.0,0.282,-14.064,0.351,102.648,0.963,A#/Bb,4,1970s,country
15,It Must Be Love - Single Version,20 Greatest Hits,Don Williams,1987-01-01,146733,46,0.129,0.92,0.399,8.66e-06,0.0721,-17.627,0.0608,110.824,0.966,F,4,1970s,country
16,Two More Bottles of Wine - 2003 Remaster,Quarter Moon in a Ten Cent Town (Expanded & Remastered),Emmylou Harris,1978,186333,50,0.251,0.764,0.736,0.000294,0.121,-7.571,0.0333,134.336,0.96,D#/Eb,4,1970s,country
17,"Mammas, Don't Let Your Babies Grow Up to Be Cowboys",The Essential Waylon Jennings,Waylon Jennings,2007-05-01,152533,57,0.578,0.373,0.423,0.00115,0.16,-11.642,0.0618,187.477,0.527,A,3,1970s,country
18,The Year That Clayton Delaney Died,20th Century Masters: The Millennium Collection: Best Of Tom T. Hall,Tom T. Hall,2000-01-01,165293,0,0.588,0.659,0.456,0.0,0.198,-8.883,0.0307,133.229,0.892,C#/Db,4,1970s,country
19,Take This Job and Shove It,Johnny Paycheck - 16 Biggest Hits,Johnny Paycheck,1971,156666,48,0.556,0.763,0.364,2.02e-05,0.0792,-14.244,0.0559,137.132,0.715,F,4,1970s,country
20,Y'all Come Back Saloon,Oak Ridge Boys Greatest Hits,The Oak Ridge Boys,1980-01-01,174226,41,0.0994,0.684,0.417,3.69e-05,0.0789,-14.849,0.0502,82.837,0.743,D,4,1970s,country
21,Blue Eyes Crying In the Rain,Red Headed Stranger,Willie Nelson,1975-05-01,138600,62,0.928,0.626,0.04,0.00178,0.11,-19.994,0.0405,117.136,0.418,E,4,1970s,country
22,Marie Laveau,Super Hits,Bobby Bare,2004-06-18,190773,42,0.867,0.599,0.535,1.44e-06,0.741,-10.522,0.0339,117.59,0.835,A,4,1970s,country
23,Daydreams About Night Things,The Essential Ronnie Milsap,Ronnie Milsap,2006-07-31,143333,0,0.57,0.639,0.53,0.0,0.0911,-9.358,0.0319,138.72,0.918,D,4,1970s,country
24,"Take Me Home, Country Roads",The Essential John Denver,John Denver,2007-02-27,190040,0,0.715,0.456,0.383,0.0,0.127,-9.516,0.0263,82.026,0.67,A,4,1970s,country
25,The Most Beautiful Girl,Charlie Rich - 16 Biggest Hits,Charlie Rich,1973,162866,52,0.702,0.566,0.409,3.36e-06,0.101,-10.379,0.0265,103.233,0.458,G,4,1970s,country
26,Let Me Be There,Gold,Olivia Newton-John,2005-01-01,177986,0,0.281,0.559,0.673,5.97e-06,0.147,-7.693,0.0409,129.015,0.83,G,4,1970s,country
27,Family Tradition,The Bocephus Box Set,"Hank Williams, Jr.",2000-08-22,242960,55,0.0238,0.66,0.523,0.0,0.142,-12.068,0.0608,126.342,0.794,E,4,1970s,country
28,Coal Miner's Daughter,20 #1's: Classic Country,Various Artists,2015-06-16,181666,0,0.791,0.6,0.517,0.0187,0.108,-9.567,0.032,136.521,0.645,A,4,1970s,country
29,Help Me Make It Through The Night,The Best Of Sammi Smith,Sammi Smith,1996-01-01,155533,54,0.605,0.559,0.35,0.000443,0.102,-12.01,0.0245,78.035,0.413,G#/Ab,4,1970s,country
30,What a Difference You've Made in My Life,The Essential Ronnie Milsap,Ronnie Milsap,2006-07-31,239066,0,0.528,0.422,0.537,0.000238,0.182,-10.214,0.0276,96.198,0.43,F,4,1970s,country
31,Don't It Make My Brown Eyes Blue,Crystal Gayle: The Hits,Crystal Gayle,2007-01-01,157933,52,0.714,0.675,0.49,0.000313,0.113,-7.818,0.0395,84.409,0.353,F#/Gb,4,1970s,country
32,If I Said You Had A Beautiful Body Would You Hold It Against Me,Best Of The Bellamy Brothers,The Bellamy Brothers,1992-03-16,192040,44,0.0334,0.741,0.508,2.75e-06,0.12,-15.703,0.0294,116.572,0.872,E,4,1970s,country
33,Jolene,Jolene,Dolly Parton,1974-02-04,161533,75,0.566,0.674,0.537,0.0,0.131,-10.971,0.0363,110.578,0.809,C#/Db,4,1970s,country
34,"When You're Hot, You're Hot",The Essential Jerry Reed,Jerry Reed,1995,139560,46,0.354,0.788,0.832,0.0,0.1,-10.783,0.0981,101.045,0.91,E,4,1970s,country
35,Stranger,The Essential Johnny Duncan,Johnny Duncan,2011,189786,45,0.121,0.57,0.555,0.0,0.304,-9.147,0.0273,117.646,0.901,F,4,1970s,country
36,Drinkin' My Baby (Off My Mind) - 2009 Remaster,Number One Hits,Eddie Rabbitt,2009-10-05,145946,42,0.0764,0.614,0.706,0.0,0.306,-7.397,0.0292,127.952,0.867,E,4,1970s,country
37,The Devil Went Down to Georgia,Million Mile Reflections,The Charlie Daniels Band,1979,215066,61,0.131,0.517,0.535,0.0,0.085,-12.027,0.0494,135.087,0.933,C,4,1970s,country
