,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,playlist
11,It Must Be Love - Single Version,20 Greatest Hits,Don Williams,1987-01-01,146733,46,0.129,0.92,0.399,8.66e-06,0.0721,-17.627,0.0608,110.824,0.966,5,4,1970s
12,The Year That Clayton Delaney Died,20th Century Masters: The Millennium Collection: Best Of Tom T. Hall,Tom T. Hall,2000-01-01,165293,0,0.588,0.659,0.456,0.0,0.198,-8.883,0.0307,133.229,0.892,1,4,1970s
13,Every Which Way but Loose - 2009 Remaster,Number One Hits,Eddie Rabbitt,2009-10-05,171653,54,0.458,0.598,0.483,7.88e-06,0.36,-7.474,0.0292,130.663,0.452,7,4,1970s
14,One Piece at a Time,One Piece At A Time,Johnny Cash,1976-05-01,241813,59,0.685,0.721,0.539,0.0,0.282,-14.064,0.351,102.648,0.963,10,4,1970s
15,Two More Bottles of Wine - 2003 Remaster,Quarter Moon in a Ten Cent Town (Expanded & Remastered),Emmylou Harris,1978,186333,49,0.251,0.764,0.736,0.000294,0.121,-7.571,0.0333,134.336,0.96,3,4,1970s
16,The Gambler,20 #1's: Classic Country,Various Artists,2015-06-16,210679,0,0.408,0.682,0.532,0.0,0.122,-11.61,0.0826,88.286,0.773,4,4,1970s
17,"Luckenbach, Texas (Back to the Basics of Love)",Ultimate Waylon Jennings,Waylon Jennings,2004-03-23,200493,57,0.704,0.684,0.45,0.00191,0.243,-10.422,0.0332,102.902,0.639,7,4,1970s
18,Rhinestone Cowboy,Greatest Hits,Glen Campbell,2009-01-01,209306,43,0.118,0.601,0.711,0.00163,0.43,-3.998,0.0255,115.168,0.719,0,4,1970s
19,I Love,20th Century Masters: The Millennium Collection: Best Of Tom T. Hall,Tom T. Hall,2000-01-01,125666,0,0.883,0.544,0.312,0.236,0.134,-12.146,0.0266,91.974,0.505,4,4,1970s
20,Love In The Hot Afternoon,Ultimate Collection: Gene Watson,Gene Watson,2001-01-01,201240,0,0.532,0.536,0.404,0.0,0.101,-11.265,0.0351,112.682,0.29,4,3,1970s
21,Pure Love - Remastered,Ultimate Ronnie Milsap,Ronnie Milsap,2004-03-01,140960,0,0.31,0.521,0.718,0.0,0.0648,-9.102,0.0324,151.216,0.849,2,4,1970s
22,You've Never Been This Far Before,Conway Twitty - 25 Number Ones,Conway Twitty,2004-01-01,181932,37,0.694,0.469,0.235,0.153,0.0962,-14.399,0.0336,138.522,0.52,10,4,1970s
23,Marie Laveau,Super Hits,Bobby Bare,2004-06-18,190773,41,0.867,0.599,0.535,1.44e-06,0.741,-10.522,0.0339,117.59,0.835,9,4,1970s
24,Stranger,The Essential Johnny Duncan,Johnny Duncan,2011,189786,44,0.121,0.57,0.555,0.0,0.304,-9.147,0.0273,117.646,0.901,5,4,1970s
25,Jolene,Jolene,Dolly Parton,1974-02-04,161533,74,0.566,0.674,0.537,0.0,0.131,-10.971,0.0363,110.578,0.809,1,4,1970s
26,If I Said You Had A Beautiful Body Would You Hold It Against Me,Best Of The Bellamy Brothers,The Bellamy Brothers,1992-03-16,192040,44,0.0334,0.741,0.508,2.75e-06,0.12,-15.703,0.0294,116.572,0.872,4,4,1970s
27,Coal Miner's Daughter,20 #1's: Classic Country,Various Artists,2015-06-16,181666,0,0.791,0.6,0.517,0.0187,0.108,-9.567,0.032,136.521,0.645,9,4,1970s
28,Southern Nights,Greatest Hits,Glen Campbell,2009-01-01,179586,41,0.0376,0.651,0.937,0.000419,0.291,-2.57,0.0366,93.789,0.927,1,4,1970s
29,Two Dollars in the Jukebox - 2008 Remaster,Rocky Mountain Music,Eddie Rabbitt,1976-10,142773,48,0.067,0.759,0.621,0.000291,0.0623,-12.539,0.0314,134.319,0.921,5,4,1970s
30,Don't It Make My Brown Eyes Blue,Crystal Gayle: The Hits,Crystal Gayle,2007-01-01,157933,52,0.714,0.675,0.49,0.000313,0.113,-7.818,0.0395,84.409,0.353,6,4,1970s
31,The Most Beautiful Girl,Charlie Rich - 16 Biggest Hits,Charlie Rich,1973,162866,51,0.702,0.566,0.409,3.36e-06,0.101,-10.379,0.0265,103.233,0.458,7,4,1970s
32,Rose Colored Glasses,Rose Colored Glasses,John Conlee,1988-01-01,200493,57,0.382,0.396,0.379,0.0,0.105,-14.236,0.043,114.447,0.368,8,3,1970s
33,Family Tradition,The Bocephus Box Set,"Hank Williams, Jr.",2000-08-22,242960,54,0.0238,0.66,0.523,0.0,0.142,-12.068,0.0608,126.342,0.794,4,4,1970s
34,"Take Me Home, Country Roads",The Essential John Denver,John Denver,2007-02-27,190040,0,0.715,0.456,0.383,0.0,0.127,-9.516,0.0263,82.026,0.67,9,4,1970s
35,Don't the Girls All Get Prettier at Closing Time,16 Biggest Hits,Mickey Gilley,1974,177266,35,0.605,0.657,0.808,2.68e-05,0.291,-8.564,0.0445,89.918,0.926,0,4,1970s
36,Coat of Many Colors,Coat Of Many Colors,Dolly Parton,1971,183666,60,0.93,0.624,0.257,7.56e-05,0.138,-13.341,0.0444,85.617,0.681,5,4,1970s
37,Daydreams About Night Things,The Essential Ronnie Milsap,Ronnie Milsap,2006-07-31,143333,0,0.57,0.639,0.53,0.0,0.0911,-9.358,0.0319,138.72,0.918,2,4,1970s
38,Stop And Smell The Roses,Stop And Smell The Roses,Mac Davis,1974-02-27,201600,39,0.232,0.528,0.421,0.0,0.159,-16.302,0.0858,85.449,0.763,2,4,1970s
39,Rub It In,"The Best Of Billy ""Crash"" Craddock",Billy 'Crash' Craddock,1996-01-01,146800,40,0.404,0.759,0.543,1.25e-05,0.141,-11.189,0.0321,115.671,0.977,7,4,1970s
40,The Grand Tour,George Jones - 16 Biggest Hits,George Jones,1998-07-14,187373,51,0.944,0.458,0.275,0.0194,0.271,-11.498,0.0261,88.718,0.449,10,4,1970s
41,Let Me Be There,Gold,Olivia Newton-John,2005-01-01,177986,0,0.281,0.559,0.673,5.97e-06,0.147,-7.693,0.0409,129.015,0.83,7,4,1970s
42,Misty,Greatest Hits - Original Recordings,Ray Stevens,2014-04-22,175933,36,0.187,0.591,0.551,0.000652,0.0749,-13.72,0.0286,100.326,0.877,2,4,1970s
43,The Devil Went Down to Georgia,Million Mile Reflections,The Charlie Daniels Band,1979,215066,61,0.131,0.517,0.535,0.0,0.085,-12.027,0.0494,135.087,0.933,0,4,1970s
44,What a Difference You've Made in My Life,The Essential Ronnie Milsap,Ronnie Milsap,2006-07-31,239066,0,0.528,0.422,0.537,0.000238,0.182,-10.214,0.0276,96.198,0.43,5,4,1970s
45,Wasted Days And Wasted Nights,Before The Next Teardrop Falls,Freddy Fender,1975,171761,49,0.481,0.702,0.409,4.76e-06,0.289,-8.84,0.0354,88.516,0.885,11,4,1970s
